,title,dates,place,description
160,"❔ Malamovida? Una questione di spazi`
",21.11.2024 | 19:00 - 21:00,"Caffè Portineria, Via Roberto da Bari 58/A, Bari (BA)

💭 È chiaro: il tema della gestione delle movida è complesso, e non può essere risolto solo con regole e divieti che spostano il problema da una zona all’altra della città. Di fronte alle misure che limitano orari e spazi senza una vera alternativa, la domanda resta: davvero questo è il massimo che possiamo fare per rendere la città vivibile e stimolante per tutte e tutti? Come possiamo creare insieme uno spazio urbano che accolga e faccia crescere la cultura giovanile?

🌀 Con queste domande vi invitiamo al primo incontro di comunità della campagna BariNextGen. Un’occasione per ascoltarci, condividere proposte e immaginare nuove forme e spazi di aggregazione e cultura giovanile, in modo costruttivo e inclusivo.

 https://www.eventbrite.com/e/malamovida-una-questione-di-spazi-tickets-1083856346509?aff=oddtdtcreator","
💭 È chiaro: il tema della gestione delle movida è complesso, e non può essere risolto solo con regole e divieti che spostano il problema da una zona all’altra della città. Di fronte alle misure che limitano orari e spazi senza una vera alternativa, la domanda resta: davvero questo è il massimo che possiamo fare per rendere la città vivibile e stimolante per tutte e tutti? Come possiamo creare insieme uno spazio urbano che accolga e faccia crescere la cultura giovanile?

🌀 Con queste domande vi invitiamo al primo incontro di comunità della campagna BariNextGen. Un’occasione per ascoltarci, condividere proposte e immaginare nuove forme e spazi di aggregazione e cultura giovanile, in modo costruttivo e inclusivo.

 https://www.eventbrite.com/e/malamovida-una-questione-di-spazi-tickets-1083856346509?aff=oddtdtcreator"
161,"🎹 Strictly Skankin #3`
",16.11.2024 | 22:00 - 17.11.2024 | 04:00,"Scuderia Sant'Elia, sp157, Altamura, BA

I&I Project & Ciccio Sound presentano il terzo appuntamento di Strictly Skankin !
Roots Reggae Dub all night! Amplifica la serata Gianpi Sound System from Altamurjah!
Ai controlli: 
I&I PROJECT
CICCIO SOUND
KATABASS
GIANPI SOUND 

make it a date and don't be late !

https://www.facebook.com/events/1752120018864327/?acontext=%7B%22action_history%22:%22null%22%7D&ref_source=newsfeed&ref_mechanism=feed_attachment",
162,"🎥 Rassegna VITE CHE NON SONO LA MIA`
",13.11.2024 | 20:00,"Arco San Nicola 3
","
Ingresso per tesserati Arci, è possibile tesserarsi sul posto, cash only! Ci saranno presto altre rassegne non esitate a tesserarvi 💋"
163,"❔ Festa di inizio anno sociale Zona Franka`
",07.11.2024 | 19:30 - 00:00,"Via Dalmazia 35 Bari (BA)

✨ Inauguriamo insieme un nuovo anno sociale pieno di attività politica ed eventi culturali nella città di Bari!

🏓h 19.30 giochi da tavolo, aperitivo e torneo di biliardino
🎤h 21.30 karaoke e beer pong
🎧h 23.00 dj set e crepes fino a mezzanotte


🪪 Zona Franka è un circolo Arci e il costo della tessera è di 10 euro. È valida dal 1 ottobre 2024 al 30 settembre 2025 e permette l'accesso ad eventi e iniziative di tutti i circoli ARCI in Italia, oltre che scontistiche esclusive riservate ai soci e alle socie!

https://www.instagram.com/p/DBrJorztayY/?igsh=eTc2aDMzYW1qMjdp","
✨ Inauguriamo insieme un nuovo anno sociale pieno di attività politica ed eventi culturali nella città di Bari!

🏓h 19.30 giochi da tavolo, aperitivo e torneo di biliardino
🎤h 21.30 karaoke e beer pong
🎧h 23.00 dj set e crepes fino a mezzanotte


🪪 Zona Franka è un circolo Arci e il costo della tessera è di 10 euro. È valida dal 1 ottobre 2024 al 30 settembre 2025 e permette l'accesso ad eventi e iniziative di tutti i circoli ARCI in Italia, oltre che scontistiche esclusive riservate ai soci e alle socie!

https://www.instagram.com/p/DBrJorztayY/?igsh=eTc2aDMzYW1qMjdp"
164,"🎭 COMICAMENTE 
Uno Show di Stand-Up Comedy`
",08.11.2024 | 21:00 - 23:00,"ExViri, viale Cimitero, contrada Calcare, Noicattaro (BA)

Comicamente torna a Exviri 💥

Nel piccolo Teatro del Laboratorio Urbano di Noicattaro (BA), una coppia comica inedita 🎭

Un Comedy Show in 2, dove Sofia Ianigro e Maristella Losacco si alternano sul palco con i propri monologhi 😂

Non sei mai stato ad uno spettacolo di Stand-Up Comedy? MALE! 🥶
CI SEMBRA IL MOMENTO DI METTERTI AL PARI CON GLI ALTRI! 👀

Biglietti su Eventbrite.it, LINK IN BIO O NELLE STORIE
Per qualsiasi info, scrivi a Exviri oppure a Stand Apulia 😏

🗓️ VENERDÌ 8 NOVEMBRE
🕘 ORE 21
","
Comicamente torna a Exviri 💥

Nel piccolo Teatro del Laboratorio Urbano di Noicattaro (BA, una coppia comica inedita 🎭

Un Comedy Show in 2, dove Sofia Ianigro e Maristella Losacco si alternano sul palco con i propri monologhi 😂

Non sei mai stato ad uno spettacolo di Stand-Up Comedy? MALE! 🥶
CI SEMBRA IL MOMENTO DI METTERTI AL PARI CON GLI ALTRI! 👀

Biglietti su Eventbrite.it, LINK IN BIO O NELLE STORIE
Per qualsiasi info, scrivi a Exviri oppure a Stand Apulia 😏

🗓️ VENERDÌ 8 NOVEMBRE
🕘 ORE 21
 Exviri, Noicattaro (BA"
165,"🎭 WOW! Uno Show di Stand-Up Comedy`
",07.11.2024 | 21:00 - 23:00,"Nassau Pub and Pirates, via Domenico Nicolai 22, Bari (BA)

La Stand-Up Comedy è WOW! 💥
e torna al Nassau Pub and Pirates come ogni mese con ingresso gratuito 

GIOVEDÌ 07 NOVEMBRE, un Comedy Show ad alto tasso umoristico 😏
Vuoi venire? Prenota! 👀
E vieni prima, perché se non finisci di mangiare non iniziamo! 🤝🏼","
La Stand-Up Comedy è WOW! 💥
e torna al Nassau Pub and Pirates come ogni mese con ingresso gratuito 

GIOVEDÌ 07 NOVEMBRE, un Comedy Show ad alto tasso umoristico 😏
Vuoi venire? Prenota! 👀
E vieni prima, perché se non finisci di mangiare non iniziamo! 🤝🏼"
166,"👾 ""ODIO L'ESTATE"" a Spine con Kalina Muhova`
",14.11.2024 | 19:00 - 21:00,"Spine Bookstore c/o Officina degli Esordi, Via Francesco Crispi n.5 Bari

Il prossimo 14 Novembre, un appuntamento speciale a Spine con la fumettista e illustratrice Kalina Muhova, fresca vincitrice del prestigioso Gran Guinigi del Lucca Comics & Games come Miglior Storia Breve per il suo ""ODIO L'ESTATE"", pubblicato nel 2023 da Rulez.
L'autrice bulgara presenterà e dedicherà al pubblico barese proprio Odio l'estate, ""un libro che parla d’amore. Amore verso se stessi, verso chi si ha vicino e verso il futuro che si deve e si può avere la forza di abbracciare"". 
A dialogare con Kalina, magari anche della sua varia produzione editoriale presente a Spine, ci sarà Sara Mastrodomenico.

https://facebook.com/events/s/odio-lestate-con-kalina-muhova/1608493060045181/",
167,"🎹 Risonanza Fest 2`
",11.11.2024 | 19:30 - 22:30,"Politecnico di Bari, Bari (Ba)

Due stage che si rincorreranno ai ritmi di batteria e console

Live stage🎵
Claudio Fresh & Lgndee
Guatemala
Lit Up Fuse

Dj set stage 🎧
Cameramenotre

Tutto in collab con:
Altrementi Aps, ADI Bari, Amnesty International Bisceglie","
Due stage che si rincorreranno ai ritmi di batteria e console

Live stage🎵
Claudio Fresh & Lgndee
Guatemala
Lit Up Fuse

Dj set stage 🎧
Cameramenotre

Tutto in collab con:
Altrementi Aps, ADI Bari, Amnesty International Bisceglie"
168,"👾 Halloween - Giochi da Paura`
",31.10.2024 | 20:00 - 01.11.2024 | 00:00,"APS La Plancia Piena - Giovinazzo (BA) Piazza Umberto I, 14

Preparatevi per una serata indimenticabile all'insegna del brivido!

Tantissimi giochi da tavolo e di ruolo a tema, scrivici per prenotare il tuo tavolo o la tua sessione one shot!

Tanti premi in palio per:
- Miglior costume 
- Costume più divertente
- estrazione finale (1 biglietto omaggio per chi viene in maschera) 

Contattaci per info!

#luoghicomunipuglia #boardgames #rolegames #halloween #spooky","Piazza Umberto I, 14

Preparatevi per una serata indimenticabile all'insegna del brivido!

Tantissimi giochi da tavolo e di ruolo a tema, scrivici per prenotare il tuo tavolo o la tua sessione one shot!

Tanti premi in palio per:
- Miglior costume 
- Costume più divertente
- estrazione finale (1 biglietto omaggio per chi viene in maschera 

Contattaci per info!

#luoghicomunipuglia #boardgames #rolegames #halloween #spooky"
169,"📖 La Cameriera di Poesia: presentazione del libro, un po’ dialogo un po’ performance`
",06.11.2024 | 20:00,"Antico Commercio, Corso Cavour 40, Corato (BA)

Da diverso tempo 𝗖𝗹𝗮𝘂𝗱𝗶𝗮 𝗙𝗮𝗯𝗿𝗶𝘀 entra sorridente nel nostro locale con in mano un cesto pieno delle sue 𝘗𝘢𝘳𝘰𝘭𝘦 𝘚𝘰𝘵𝘵𝘰 𝘚𝘢𝘭𝘦, per non lasciarci mai a secco di poesia.

Con la sua auto che si crede un cavallo e il suo cruscotto - museo a cielo aperto, Claudia sta portando in giro per l’Italia il suo nuovo libro 𝙇𝙖 𝘾𝙖𝙢𝙚𝙧𝙞𝙚𝙧𝙖 𝙙𝙞 𝙋𝙤𝙚𝙨𝙞𝙖: 𝙥𝙞𝙘𝙘𝙤𝙡𝙖 𝙧𝙞𝙨𝙩𝙤𝙧𝙖𝙯𝙞𝙤𝙣𝙚 𝙙𝙚𝙡𝙡𝙤 𝙨𝙥𝙞𝙧𝙞𝙩𝙤.

In collaborazione con Verso Sud, martedì 29 ottobre sarà nostra 𝘰𝘴𝘱𝘪𝘵𝘦 - lei abiterà in noi e noi in lei, come le sue conserve ci hanno insegnato. Non sarà una semplice presentazione, ma un po’ dialogo, un po’ performance.

Prenderemo posto alle 20:30 e l’ingresso libero con prenotazione obbligatoria contattando Gino al 377 477 2127","
Da diverso tempo 𝗖𝗹𝗮𝘂𝗱𝗶𝗮 𝗙𝗮𝗯𝗿𝗶𝘀 entra sorridente nel nostro locale con in mano un cesto pieno delle sue 𝘗𝘢𝘳𝘰𝘭𝘦 𝘚𝘰𝘵𝘵𝘰 𝘚𝘢𝘭𝘦, per non lasciarci mai a secco di poesia.

Con la sua auto che si crede un cavallo e il suo cruscotto - museo a cielo aperto, Claudia sta portando in giro per l’Italia il suo nuovo libro 𝙇𝙖 𝘾𝙖𝙢𝙚𝙧𝙞𝙚𝙧𝙖 𝙙𝙞 𝙋𝙤𝙚𝙨𝙞𝙖: 𝙥𝙞𝙘𝙘𝙤𝙡𝙖 𝙧𝙞𝙨𝙩𝙤𝙧𝙖𝙯𝙞𝙤𝙣𝙚 𝙙𝙚𝙡𝙡𝙤 𝙨𝙥𝙞𝙧𝙞𝙩𝙤.

In collaborazione con Verso Sud, martedì 29 ottobre sarà nostra 𝘰𝘴𝘱𝘪𝘵𝘦 - lei abiterà in noi e noi in lei, come le sue conserve ci hanno insegnato. Non sarà una semplice presentazione, ma un po’ dialogo, un po’ performance.

Prenderemo posto alle 20:30 e l’ingresso libero con prenotazione obbligatoria contattando Gino al 377 477 2127"
170,"🎹 Sara & The Synthomatics Nu Soul Live Set`
",25.10.2024 | 20:30 - 23:30,"Piazza Kolbe, Acquaviva delle Fonti (BA)

https://www.instagram.com/synthomatics?igsh=MTJ4MHhzaHY2bXg0","
https://www.instagram.com/synthomatics?igsh=MTJ4MHhzaHY2bXg0"
171,"✊ FESTIVAL INTERNAZIONALISTA DELLA POESIA RIVOLUZIONARIA+ CHIVÀLA live`
",26.10.2024 | 20:00 - 27.10.2024 | 03:00,"Le Macerie - Baracche Ribelli, Molfetta (BA)

Il FESTIVAL INTERNAZIONALISTA DELLA POESIA RIVOLUZIONARIA a cura della Brigata Poeti Rivoluzionari approda alLe MACERIE - Baracche Ribelli 🏴‍☠️🇵🇸 in una edizione interamente dedicata alla Palestina

SABATO 26/10

Apertura ore 20 

Dalle 20.30 

PRESENTAZIONI
• La lingua batte sul ferro di Matteo Rusconi - Raccolta di poesia operaia
• Il buio della ragione, poesie contro la tortura - a cura di Marco Cinque e Vito Davoli
Interventi di Amira Abuamra, presidente del Laboratorio Palestina-Cultura e Arti.

• PROIEZIONE Cortometraggio ""Bella come la Palestina"" - Documentario partecipato
• Pièce/letture di Ninnì Vernola 
• ⁠PERFORMANCE artistica di Eloise Calabrese 

Dalle 23 

• Live/performance 
STARNUTO NOLENTE

• Live 
CHIVÀLA

Dj set a seguire 

Durante la serata 🍉 Cena solidale palestinese","
Il FESTIVAL INTERNAZIONALISTA DELLA POESIA RIVOLUZIONARIA a cura della Brigata Poeti Rivoluzionari approda alLe MACERIE - Baracche Ribelli 🏴‍☠️🇵🇸 in una edizione interamente dedicata alla Palestina

SABATO 26/10

Apertura ore 20 

Dalle 20.30 

PRESENTAZIONI
• La lingua batte sul ferro di Matteo Rusconi - Raccolta di poesia operaia
• Il buio della ragione, poesie contro la tortura - a cura di Marco Cinque e Vito Davoli
Interventi di Amira Abuamra, presidente del Laboratorio Palestina-Cultura e Arti.

• PROIEZIONE Cortometraggio ""Bella come la Palestina"" - Documentario partecipato
• Pièce/letture di Ninnì Vernola 
• ⁠PERFORMANCE artistica di Eloise Calabrese 

Dalle 23 

• Live/performance 
STARNUTO NOLENTE

• Live 
CHIVÀLA

Dj set a seguire 

Durante la serata 🍉 Cena solidale palestinese"
172,"🎹 THE APULIAN BLUES FOUNDATION live@Resilienza`
",25.10.2024 | 21:30 - 26.10.2024 | 00:30,"Resilienza, Bitonto (BA)

Il venerdì live si accende questa settimana con THE APULIAN BLUES FOUNDATION.

Un crossover fra Stoner e Blues che crea un delta sonoro d'impatto.
Band attiva da molti anni sulla scena, ha suonato in lungo ed in largo in festival, spazi sociali e club.
Minimo contributo, massima qualità.
Vi aspettiamo !!!","
Il venerdì live si accende questa settimana con THE APULIAN BLUES FOUNDATION.

Un crossover fra Stoner e Blues che crea un delta sonoro d'impatto.
Band attiva da molti anni sulla scena, ha suonato in lungo ed in largo in festival, spazi sociali e club.
Minimo contributo, massima qualità.
Vi aspettiamo !!!"
173,"🎹 𝗥𝗮𝘀𝘀𝗲𝗴𝗻𝗮 𝗭.𝗘.𝗥.𝗢. con Bob Cillo & Mafia Trunk + Nick the Freak`
",25.10.2024 | 21:00 - 26.10.2024 | 00:00,"Accademia del Cinema Ragazzi, Bari (BA)

Bob Cillo & Mafia Trunk e Nick the Freak vi faranno scatenare al ritmo delle loro sonorità inedite, intense e irresistibili!
 
𝗕𝗼𝗯 𝗖𝗶𝗹𝗹𝗼 & 𝗠𝗮𝗳𝗶𝗮 𝗧𝗿𝘂𝗻𝗸 Innamorati folli del blues sporco e del garage rock'n'roll, devono il nome al bagagliaio di un tassista di Chicago (in USA un Mafia Trunk è un cofano così grande che può ospitare cadaveri). Niente cliché, solo ottani puri e graffianti.
 
𝗡𝗶𝗰𝗸 𝘁𝗵𝗲 𝗙𝗿𝗲𝗮𝗸 Il ribelle sonoro: dal blues al reggae, ha riscaldato ed entusiasmato tantissime location, dai bar minuscoli ai festival enormi.
 
🎫 Ingresso con tesseramento obbligatorio","
Bob Cillo & Mafia Trunk e Nick the Freak vi faranno scatenare al ritmo delle loro sonorità inedite, intense e irresistibili!
 
𝗕𝗼𝗯 𝗖𝗶𝗹𝗹𝗼 & 𝗠𝗮𝗳𝗶𝗮 𝗧𝗿𝘂𝗻𝗸 Innamorati folli del blues sporco e del garage rock'n'roll, devono il nome al bagagliaio di un tassista di Chicago (in USA un Mafia Trunk è un cofano così grande che può ospitare cadaveri. Niente cliché, solo ottani puri e graffianti.
 
𝗡𝗶𝗰𝗸 𝘁𝗵𝗲 𝗙𝗿𝗲𝗮𝗸 Il ribelle sonoro: dal blues al reggae, ha riscaldato ed entusiasmato tantissime location, dai bar minuscoli ai festival enormi.
 
🎫 Ingresso con tesseramento obbligatorio"
174,"🎨 IncontrArte🫀 - Cerchio di Arte Condivisa✨`
",25.10.2024 | 18:00,,
175,"🎭 Stand up comedy`
",17.10.2024 | 21:00 - 23:00,"Clan Pub, Ginosa (TA)

🌟 Una nuova avventura sta per cominciare! 🌟
La stand-up comedy sta tornando a Ginosa, e sarà una serata che non vorrai perdere!

","
🌟 Una nuova avventura sta per cominciare! 🌟
La stand-up comedy sta tornando a Ginosa, e sarà una serata che non vorrai perdere!

📅 GIOVEDÌ 17 OTTOBRE, al Clan, ci sarà Tommaso Pavone di “StandApulia”, pronto a portarci nel suo mondo di risate! Con il suo stile unico e le battute taglienti, preparati a ridere come mai prima d'ora! 😄🎤

🍕 Hai voglia di ridere?
🍻 Desideri un buon piatto e una birra fresca?
Allora segna questa data sul tuo calendario! La serata è pensata per chi ama divertirsi!

Ti aspettiamo al Clan!
🔥 Le prenotazioni sono già aperte! 🔥
Non aspettare, prenota il tuo posto e preparati a un'esperienza indimenticabile!"
176,"🎹 La Festa Agricola | Verso Sud`
",20.10.2024 | 12:00 - 21.10.2024 | 00:00,"Cantina Sociale Terra Maiorum, Corato (BA)

𝘾𝙞𝙩𝙩𝙖𝙙𝙞𝙣𝙞 𝙚 𝙘𝙞𝙩𝙩𝙖𝙙𝙞𝙣𝙚, 𝙘𝙤𝙣𝙩𝙖𝙙𝙞𝙣𝙞 𝙚 𝙘𝙤𝙣𝙩𝙖𝙙𝙞𝙣𝙚! 
Alla 𝗖𝗮𝗻𝘁𝗶𝗻𝗮 𝗦𝗼𝗰𝗶𝗮𝗹𝗲 𝗧𝗲𝗿𝗿𝗮 𝗠𝗮𝗶𝗼𝗿𝘂𝗺 𝗮 𝗖𝗼𝗿𝗮𝘁𝗼  torna la 𝗙𝗲𝘀𝘁𝗮 𝗔𝗴𝗿𝗶𝗰𝗼𝗹𝗮 di Verso Sud!
Da mezzogiorno a mezzanotte 𝘨𝘳𝘢𝘯𝘥𝘦 𝘮𝘶𝘴𝘪𝘤𝘢, 𝘤𝘪𝘣𝘰 𝘢𝘨𝘳𝘪𝘤𝘰𝘭𝘰, 𝘢𝘳𝘵𝘪𝘨𝘪𝘢𝘯𝘢𝘵𝘰 𝘦 𝘯𝘢𝘵𝘶𝘳𝘢𝘭𝘮𝘦𝘯𝘵𝘦 𝘷𝘪𝘯𝘰.

Sarà come sempre un grande evento, una festa, un rito pagano, con tanta tanta musica, sotto la direzione agricola di 𝘗𝘦𝘱𝘱𝘦 𝘓𝘦𝘰𝘯𝘦 𝘦 𝘭𝘢 𝘴𝘶𝘢 𝘖𝘳𝘤𝘩𝘦𝘴𝘵𝘳𝘢.

Tra ritmi trascinanti, esibizioni deliranti e improvvisazioni agricole, anche quest’anno ne vedremo delle belle, anzi bellissime. 

Ecco i nomi degli ospiti, la guest star, direttamente dai peggiori bar di Pamplona, sarà nientepopodimeno che 𝗧𝗼𝗻𝗶𝗻𝗼 𝗖𝗮𝗿𝗼𝘁𝗼𝗻𝗲!

Disegno di Peppe Losapio

𝗕𝗶𝗴𝗹𝗶𝗲𝘁𝘁𝗶: eventbrite.it/e/biglietti-festa-agricola-1020452088667?aff=oddtdtcreator","
𝘾𝙞𝙩𝙩𝙖𝙙𝙞𝙣𝙞 𝙚 𝙘𝙞𝙩𝙩𝙖𝙙𝙞𝙣𝙚, 𝙘𝙤𝙣𝙩𝙖𝙙𝙞𝙣𝙞 𝙚 𝙘𝙤𝙣𝙩𝙖𝙙𝙞𝙣𝙚! 
Alla 𝗖𝗮𝗻𝘁𝗶𝗻𝗮 𝗦𝗼𝗰𝗶𝗮𝗹𝗲 𝗧𝗲𝗿𝗿𝗮 𝗠𝗮𝗶𝗼𝗿𝘂𝗺 𝗮 𝗖𝗼𝗿𝗮𝘁𝗼  torna la 𝗙𝗲𝘀𝘁𝗮 𝗔𝗴𝗿𝗶𝗰𝗼𝗹𝗮 di Verso Sud!
Da mezzogiorno a mezzanotte 𝘨𝘳𝘢𝘯𝘥𝘦 𝘮𝘶𝘴𝘪𝘤𝘢, 𝘤𝘪𝘣𝘰 𝘢𝘨𝘳𝘪𝘤𝘰𝘭𝘰, 𝘢𝘳𝘵𝘪𝘨𝘪𝘢𝘯𝘢𝘵𝘰 𝘦 𝘯𝘢𝘵𝘶𝘳𝘢𝘭𝘮𝘦𝘯𝘵𝘦 𝘷𝘪𝘯𝘰.

Sarà come sempre un grande evento, una festa, un rito pagano, con tanta tanta musica, sotto la direzione agricola di 𝘗𝘦𝘱𝘱𝘦 𝘓𝘦𝘰𝘯𝘦 𝘦 𝘭𝘢 𝘴𝘶𝘢 𝘖𝘳𝘤𝘩𝘦𝘴𝘵𝘳𝘢.

Tra ritmi trascinanti, esibizioni deliranti e improvvisazioni agricole, anche quest’anno ne vedremo delle belle, anzi bellissime. 

Ecco i nomi degli ospiti, la guest star, direttamente dai peggiori bar di Pamplona, sarà nientepopodimeno che 𝗧𝗼𝗻𝗶𝗻𝗼 𝗖𝗮𝗿𝗼𝘁𝗼𝗻𝗲!

Disegno di Peppe Losapio

𝗕𝗶𝗴𝗹𝗶𝗲𝘁𝘁𝗶: eventbrite.it/e/biglietti-festa-agricola-1020452088667?aff=oddtdtcreator"
177,"📖 Guido Celli: Abbaglio Piramide Infesto Splendore`
",22.10.2024 | 20:30 - 22:30,"Antico Commercio, Corso Cavour 40, Corato (BA)

Era fine febbraio, quando abbiamo ospitato per la prima volta il poeta 𝗚𝘂𝗶𝗱𝗼 𝗖𝗲𝗹𝗹𝗶 durante la rassegna poetica 𝘓𝘢 𝘱𝘰𝘦𝘴𝘪𝘢 𝘤𝘩𝘦 𝘤𝘪 𝘤𝘪𝘳𝘤𝘰𝘯𝘥𝘢.
Nel nostro salotto c’era l’atmosfera dei caffè letterari parigini negli anni ‘30, in cui si ascoltavano i suoi versi sorseggiando vino.

A lui dobbiamo i versi «𝘦 𝘱𝘰𝘪 𝘧𝘳𝘢 𝘭𝘦 𝘧𝘦𝘳𝘶𝘭𝘦 𝘶𝘯 𝘤𝘪𝘦𝘭𝘰 𝘥𝘪 𝘱𝘪𝘦𝘵𝘳𝘦», che ci hanno accompagnato nel nostro cammino in Murgia primaverile, tratti dal suo libro 𝙋𝙞𝙚𝙩𝙧𝙖 𝙈𝙖𝙙𝙧𝙚, custodito nella piccola libreria del Commercio.

Martedì 𝟮𝟮 𝗼𝘁𝘁𝗼𝗯𝗿𝗲 farà tappa tra noi con il suo 𝙄𝙣 𝙙𝙞𝙖𝙜𝙤𝙣𝙖𝙡𝙚 𝙏𝙤𝙪𝙧 - a corpo, a voce.

«𝘔’𝘩𝘢 𝘥𝘦𝘵𝘵𝘰 𝘙𝘢𝘤𝘩𝘦𝘭𝘦» …che il locale sarà dedicato alla poesia: si inizia alle 20:30, si entra su prenotazione con un contributo di 5 euro, contattando Gino su Whatsapp al +39 377 477 2127.
Non sarà più possibile entrare una volta iniziato il reading.

https://www.facebook.com/share/urCxCLPidqfdGDdj/","
Era fine febbraio, quando abbiamo ospitato per la prima volta il poeta 𝗚𝘂𝗶𝗱𝗼 𝗖𝗲𝗹𝗹𝗶 durante la rassegna poetica 𝘓𝘢 𝘱𝘰𝘦𝘴𝘪𝘢 𝘤𝘩𝘦 𝘤𝘪 𝘤𝘪𝘳𝘤𝘰𝘯𝘥𝘢.
Nel nostro salotto c’era l’atmosfera dei caffè letterari parigini negli anni ‘30, in cui si ascoltavano i suoi versi sorseggiando vino.

A lui dobbiamo i versi «𝘦 𝘱𝘰𝘪 𝘧𝘳𝘢 𝘭𝘦 𝘧𝘦𝘳𝘶𝘭𝘦 𝘶𝘯 𝘤𝘪𝘦𝘭𝘰 𝘥𝘪 𝘱𝘪𝘦𝘵𝘳𝘦», che ci hanno accompagnato nel nostro cammino in Murgia primaverile, tratti dal suo libro 𝙋𝙞𝙚𝙩𝙧𝙖 𝙈𝙖𝙙𝙧𝙚, custodito nella piccola libreria del Commercio.

Martedì 𝟮𝟮 𝗼𝘁𝘁𝗼𝗯𝗿𝗲 farà tappa tra noi con il suo 𝙄𝙣 𝙙𝙞𝙖𝙜𝙤𝙣𝙖𝙡𝙚 𝙏𝙤𝙪𝙧 - a corpo, a voce.

«𝘔’𝘩𝘢 𝘥𝘦𝘵𝘵𝘰 𝘙𝘢𝘤𝘩𝘦𝘭𝘦» …che il locale sarà dedicato alla poesia: si inizia alle 20:30, si entra su prenotazione con un contributo di 5 euro, contattando Gino su Whatsapp al +39 377 477 2127.
Non sarà più possibile entrare una volta iniziato il reading.

https://www.facebook.com/share/urCxCLPidqfdGDdj/"
